z,F0,G0,H0,F1,G1,H1,U_at_r0,V_at_r0,W_at_r0,P0,Pz0
0.9330127018922194,-0.001628154080204463,-3.624735896291511e-6,-0.004878235473905761,0.0,0.0,0.0,-8.140770401022315e-5,-1.8123679481457556e-7,-0.004878235473905761,0.00715598352493946,0.04795389646722704
0.9455032620941839,-0.0013246807322086743,-2.975630472428782e-6,-0.003228904654026221,0.0,0.0,0.0,-6.623403661043372e-5,-1.4878152362143912e-7,-0.003228904654026221,0.0077560549363629265,0.048130090434991904
0.9567727288213004,-0.0010507940609344923,-2.3411726126795215e-6,-0.0020315842871498854,0.0,0.0,0.0,-5.253970304672462e-5,-1.1705863063397607e-7,-0.0020315842871498854,0.008300671574002612,0.04852339829295894
0.9667902132486008,-0.0008073514448145007,-1.8240474142245775e-6,-0.001199253576560573,0.0,0.0,0.0,-4.0367572240725035e-5,-9.120237071122889e-8,-0.001199253576560573,0.008786055299179316,0.04838390986394697
0.9755282581475768,-0.0005949348697413046,-1.325741953226469e-6,-0.0006511581624926281,0.0,0.0,0.0,-2.974674348706523e-5,-6.628709766132345e-8,-0.0006511581624926281,0.009210524926009005,0.048770460876224345
0.9829629131445341,-0.000414231050748543,-9.481028179209846e-7,-0.00031573469947452824,0.0,0.0,0.0,-2.071155253742715e-5,-4.7405140896049233e-8,-0.00031573469947452824,0.009571505992151601,0.04833722368757374
0.9890738003669028,-0.000265647653218469,-5.919534522978771e-7,-0.00012981907132270383,0.0,0.0,0.0,-1.328238266092345e-5,-2.9597672614893853e-8,-0.00012981907132270383,0.009869036970684392,0.049040118654364764
0.9938441702975689,-0.00014969390303413906,-3.586006664282376e-7,-4.132418948755024e-5,0.0,0.0,0.0,-7.484695151706954e-6,-1.7930033321411883e-8,-4.132418948755024e-5,0.010100212540981245,0.04788132503106293
0.9972609476841366,-6.659731301068471e-5,-1.483956653928916e-7,-8.160796384520368e-6,0.0,0.0,0.0,-3.3298656505342357e-6,-7.419783269644581e-9,-8.160796384520368e-6,0.01026793481579177,0.05029438607606751
0.9993147673772869,-1.668481206140293e-5,-6.221679854928008e-8,-6.248297016607265e-7,-0.0,-0.0,0.0,-8.342406030701465e-7,-3.110839927464004e-9,-6.248297016607265e-7,0.010362685770507979,0.041973649946973744
1.0,-2.0488988618082684e-29,-2.5875421526944344e-30,-6.756989034724852e-28,0.0,0.0,0.0,-1.0244494309041342e-30,-1.2937710763472173e-31,-6.756989034724852e-28,0.01038629192692428,0.02692603647727353
